# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-9.4893722509e-17	1.9507346327e-03	8.4870883469e-17	-5.2458280775e-17	1.3732916424e-16
1                 	-3.4396094705e-06	4.2427479569e-01	1.1991049775e-05	2.5559154170e-06	9.4351343581e-06
2                 	4.9816401032e-05	3.5476587702e-01	-2.0043900065e-04	-5.0403099294e-05	-1.5003590136e-04
3                 	-1.0549187634e-04	1.1391873640e-01	2.2894409338e-04	8.9801703487e-06	2.1996392304e-04
4                 	-1.5153051014e-04	-1.2126024448e-01	4.1103689073e-04	5.3987935232e-05	3.5704895550e-04
5                 	-2.5569757486e-05	-1.6268360897e-01	1.4264509747e-04	4.5752791251e-05	9.6892306224e-05
6                 	4.4899813857e-05	-3.5081802331e-02	-5.2171641883e-05	1.8813992915e-05	-7.0985634798e-05
7                 	-7.4061951305e-05	8.7541063706e-02	4.1128334877e-04	1.3157972308e-04	2.7970362569e-04
8                 	-1.5462545623e-04	1.0583951968e-01	-1.1992628613e-04	-2.1458859929e-04	9.4662313162e-05
9                 	-8.5168792128e-04	4.6603457184e-02	9.6881422867e-04	-3.6728080694e-04	1.3360950356e-03
10                	-1.7695290660e-03	-1.3841411716e-02	3.0182310948e-03	-2.6041351859e-04	3.2786446134e-03
11                	-1.8079976484e-03	-3.0195155384e-02	3.6026387928e-03	-6.6782519964e-06	3.6093170448e-03
12                	-1.5186458681e-03	-8.5106990983e-03	3.4120194215e-03	1.8736384269e-04	3.2246555788e-03
13                	-1.1409038187e-03	1.9234718341e-02	2.4276968279e-03	7.2944595224e-05	2.3547522327e-03
14                	-9.9051476064e-04	3.1640949914e-02	1.7491201681e-03	-1.1595467661e-04	1.8650748447e-03
15                	-1.3318586958e-03	2.5124339008e-02	2.4283302812e-03	-1.1769355518e-04	2.5460238364e-03
16                	-1.7757759910e-03	9.9432821568e-03	3.8995727254e-03	1.7401037169e-04	3.7255623537e-03
17                	-1.7139381897e-03	-2.7409571925e-03	3.9641251520e-03	2.6812438632e-04	3.6960007657e-03
18                	-1.2685504361e-03	-4.4169037460e-03	2.9841224464e-03	2.2351078709e-04	2.7606116593e-03
19                	-8.0222896138e-04	3.4335907970e-03	1.9359920279e-03	1.6576705259e-04	1.7702249753e-03
20                	-5.9271053160e-04	1.2936730130e-02	1.6952522527e-03	2.5491559476e-04	1.4403366580e-03
21                	-5.6247318974e-04	1.6041216865e-02	1.9101653869e-03	3.9260950373e-04	1.5175558832e-03
22                	-4.4027184233e-04	1.1555022700e-02	1.7333174988e-03	4.2638690708e-04	1.3069305917e-03
23                	-1.6478544548e-04	4.4371966916e-03	1.2213067338e-03	4.4586792143e-04	7.7543881238e-04
24                	3.1266669751e-04	9.8393176266e-04	2.9673564451e-04	4.6103451976e-04	-1.6429887525e-04
25                	7.6383154490e-04	3.1403481192e-03	-5.3143547629e-04	4.9811380675e-04	-1.0295492830e-03
26                	1.0178130664e-03	7.4011333094e-03	-6.7096825119e-04	6.8232894082e-04	-1.3532971920e-03
27                	1.1630716798e-03	1.0219904523e-02	-1.2601511368e-03	5.3299611134e-04	-1.7931472482e-03
28                	1.2896328762e-03	1.0237089521e-02	-2.2628680791e-03	1.5819883671e-04	-2.4210669158e-03
29                	1.3188525196e-03	8.2209372780e-03	-2.4625100660e-03	8.7597486647e-05	-2.5501075526e-03
30                	1.2044494034e-03	6.3655550627e-03	-1.5499935976e-03	4.2945260462e-04	-1.9794462022e-03
31                	1.0011016835e-03	6.9477380371e-03	-1.0337644126e-03	4.8421947724e-04	-1.5179838898e-03
32                	6.8666236030e-04	8.4592673096e-03	-6.4659363207e-04	3.6336554427e-04	-1.0099591763e-03
33                	3.3519182542e-04	9.8420634401e-03	-4.0727304611e-04	1.3155530236e-04	-5.3882834848e-04
34                	1.1010756165e-04	9.9945873548e-03	-2.0917866740e-04	5.5182279545e-06	-2.1469689536e-04
35                	-2.7028503005e-04	1.0463816020e-02	8.0414881793e-04	1.3178937892e-04	6.7235943901e-04
36                	-5.4891688707e-04	1.0552328826e-02	1.6734388685e-03	2.8780254719e-04	1.3856363213e-03
37                	-7.8515847121e-04	1.0415681774e-02	2.1193449641e-03	2.7451401082e-04	1.8448309532e-03
38                	-9.9944404763e-04	1.0486338454e-02	2.2773662898e-03	1.3923909728e-04	2.1381271925e-03
39                	-1.2763304452e-03	1.0786390326e-02	2.6646391237e-03	5.5989116636e-05	2.6086500071e-03
40                	-1.4675520256e-03	1.1154500720e-02	3.0488112995e-03	5.6853624149e-05	2.9919576753e-03
41                	-1.8414427040e-03	1.1144106222e-02	4.0214470625e-03	1.6928082720e-04	3.8521662353e-03
42                	-2.0740168656e-03	1.1033567627e-02	4.6319978343e-03	2.4198205153e-04	4.3900157828e-03
43                	-2.2043041332e-03	1.1011034296e-02	4.8846901999e-03	2.3804096675e-04	4.6466492332e-03
44                	-2.1544708272e-03	1.1033069192e-02	4.7698064767e-03	2.3043241112e-04	4.5393740655e-03
45                	-1.9970620815e-03	1.1039799265e-02	4.5151892835e-03	2.6053256022e-04	4.2546567233e-03
46                	-1.9161641361e-03	1.1028498319e-02	4.4640256514e-03	3.1584868959e-04	4.1481769618e-03
47                	-1.8533009543e-03	1.0991050878e-02	4.4290536315e-03	3.6122586151e-04	4.0678277700e-03
48                	-1.8106328505e-03	1.0980164920e-02	4.3720473227e-03	3.7539081084e-04	3.9966565119e-03
49                	-1.6827732374e-03	1.0946262327e-02	4.1071517721e-03	3.7080264869e-04	3.7363491234e-03
50                	-1.5485489592e-03	1.0896391780e-02	3.9108340454e-03	4.0686806353e-04	3.5039659819e-03
51                	-1.3928887583e-03	1.0830375477e-02	3.6703842532e-03	4.4230336830e-04	3.2280808849e-03
52                	-1.2619834763e-03	1.0782923379e-02	3.4417673124e-03	4.5890017989e-04	2.9828671325e-03
53                	-1.0977670999e-03	1.0769977805e-02	3.1403687540e-03	4.7241727707e-04	2.6679514769e-03
54                	-9.6791469470e-04	1.0803022054e-02	2.8961354718e-03	4.8015304121e-04	2.4159824306e-03
55                	-8.7338323319e-04	1.0846225350e-02	2.7103958160e-03	4.8181467481e-04	2.2285811412e-03
56                	-7.9026574747e-04	1.0857350604e-02	2.5363285620e-03	4.7789853353e-04	2.0584300285e-03
57                	-7.2572891873e-04	1.0834281832e-02	2.4072935330e-03	4.7791784779e-04	1.9293756853e-03
58                	-6.5599466703e-04	1.0795125273e-02	2.2679667946e-03	4.7798873026e-04	1.7899780643e-03
59                	-5.8755758434e-04	1.0786210616e-02	2.1314568856e-03	4.7817085847e-04	1.6532860271e-03
60                	-5.3311542655e-04	1.0813949089e-02	2.0260979252e-03	4.7993353604e-04	1.5461643891e-03
61                	-4.9482835135e-04	1.0870131503e-02	1.9492065375e-03	4.7977491742e-04	1.4694316201e-03
62                	-4.6382757282e-04	1.0899172232e-02	1.8882379912e-03	4.8029142277e-04	1.4079465684e-03
63                	-4.4002027535e-04	1.0902251544e-02	1.8371326144e-03	4.7854603184e-04	1.3585865825e-03
64                	-4.1884280112e-04	1.0900200733e-02	1.7905817100e-03	4.7644805387e-04	1.3141336561e-03
65                	-4.0508129816e-04	1.0894576823e-02	1.7735440708e-03	4.8169073723e-04	1.2918533336e-03
66                	-3.6113215295e-04	1.0918917247e-02	1.6600828563e-03	4.6890927519e-04	1.1911735811e-03
67                	-3.3491584359e-04	1.0930178810e-02	1.6046379762e-03	4.6740314451e-04	1.1372348317e-03
68                	-3.3094399283e-04	1.0922042253e-02	1.6121280352e-03	4.7512002477e-04	1.1370080104e-03
69                	-3.2590961348e-04	1.0950587291e-02	1.6044371170e-03	4.7630894503e-04	1.1281281720e-03
70                	-3.1667257250e-04	1.0995837380e-02	1.5790014685e-03	4.7282816176e-04	1.1061733068e-03
71                	-3.0521478256e-04	1.1015192412e-02	1.5515932862e-03	4.7058186053e-04	1.0810114257e-03
72                	-2.9390042739e-04	1.0995950354e-02	1.5296461115e-03	4.7092262837e-04	1.0587234831e-03
73                	-2.8494837388e-04	1.0949862622e-02	1.5138530902e-03	4.7197817125e-04	1.0418749190e-03
74                	-2.7862311832e-04	1.0909906381e-02	1.4968828856e-03	4.6981832446e-04	1.0270645611e-03
75                	-2.7428412230e-04	1.0893558339e-02	1.4789824298e-03	4.6520709260e-04	1.0137753372e-03
76                	-2.7031177473e-04	1.0894256255e-02	1.4650770825e-03	4.6222676653e-04	1.0028503160e-03
77                	-2.6532236327e-04	1.0909048301e-02	1.4538289608e-03	4.6159211715e-04	9.9223684369e-04
78                	-2.5850736740e-04	1.0918985596e-02	1.4372053060e-03	4.6009528562e-04	9.7711002041e-04
79                	-2.4985063997e-04	1.0903768685e-02	1.4150742350e-03	4.5768647755e-04	9.5738775749e-04
80                	-2.3964170805e-04	1.0879061632e-02	1.3893925770e-03	4.5505458044e-04	9.3433799655e-04
81                	-2.2779831398e-04	1.0858791529e-02	1.3565225480e-03	4.5046296002e-04	9.0605958797e-04
82                	-2.1735282562e-04	1.0844465270e-02	1.3225026236e-03	4.4389848618e-04	8.7860413741e-04
83                	-2.1738404724e-04	1.0840497598e-02	1.3205614361e-03	4.4289667082e-04	8.7766476529e-04
84                	-2.1303346313e-04	1.0817920683e-02	1.3036096829e-03	4.3877137832e-04	8.6483830459e-04
85                	-2.1126400281e-04	1.0810402963e-02	1.2987144534e-03	4.3809322388e-04	8.6062122949e-04
86                	-2.0735229921e-04	1.0798701503e-02	1.2891084745e-03	4.3720193803e-04	8.5190653645e-04
87                	-2.0058521829e-04	1.0788476673e-02	1.2714532130e-03	4.3514138819e-04	8.3631182476e-04
88                	-1.9154026500e-04	1.0790002822e-02	1.2445393394e-03	4.3072940471e-04	8.1380993472e-04
89                	-1.8279121025e-04	1.0808178867e-02	1.2131054670e-03	4.2376152324e-04	7.8934394375e-04
90                	-1.7750228938e-04	1.0833832448e-02	1.1859704129e-03	4.1548291707e-04	7.7048749583e-04
91                	-1.7678931724e-04	1.0846633936e-02	1.1694857738e-03	4.0795356968e-04	7.6153220416e-04
92                	-1.7857058142e-04	1.0830994457e-02	1.1618756875e-03	4.0236726234e-04	7.5950842518e-04
93                	-1.7923714678e-04	1.0784245834e-02	1.1557123145e-03	3.9861901046e-04	7.5709330402e-04
94                	-1.7563936527e-04	1.0716777658e-02	1.1433020366e-03	3.9601165302e-04	7.4729038356e-04
95                	-1.6675178594e-04	1.0649797391e-02	1.1206840775e-03	3.9359025280e-04	7.2709382469e-04
96                	-1.5411431804e-04	1.0602965485e-02	1.0887678724e-03	3.9026961816e-04	6.9849825424e-04
97                	-1.4036789867e-04	1.0586678168e-02	1.0503291428e-03	3.8479667271e-04	6.6553247005e-04
98                	-1.2910820980e-04	1.0604313761e-02	1.0098718637e-03	3.7582772207e-04	6.3404414167e-04
99                	-1.2414744928e-04	1.0708000880e-02	9.3441829759e-04	3.4306169951e-04	5.9135659808e-04
100               	-1.4029134972e-04	1.0663455849e-02	9.6021520368e-04	3.3981625212e-04	6.2039895156e-04
101               	-1.5518619606e-04	1.0540245225e-02	1.0222733994e-03	3.5595050363e-04	6.6632289576e-04
102               	-1.5629456948e-04	1.0462267736e-02	1.0683721803e-03	3.7789152068e-04	6.9048065965e-04
103               	-1.3743992472e-04	1.0527571617e-02	1.0226493874e-03	3.7388476899e-04	6.4876461842e-04
104               	-1.2419201789e-04	1.0602253664e-02	9.4780450854e-04	3.4971023639e-04	5.9809427216e-04
105               	-1.2143629078e-04	1.0623546089e-02	8.9396183214e-04	3.2554462529e-04	5.6841720685e-04
106               	-1.2613267149e-04	1.0583783006e-02	8.8139779816e-04	3.1456622759e-04	5.6683157057e-04
107               	-1.3273426153e-04	1.0513991753e-02	9.0492973667e-04	3.1973060680e-04	5.8519912986e-04
108               	-1.3463936199e-04	1.0468833047e-02	9.3032914642e-04	3.3052521122e-04	5.9980393520e-04
109               	-1.3040299024e-04	1.0467423211e-02	9.2513832121e-04	3.3216617036e-04	5.9297215085e-04
110               	-1.2451775331e-04	1.0485618884e-02	8.9703125699e-04	3.2399787518e-04	5.7303338181e-04
111               	-1.1911617567e-04	1.0505405527e-02	8.5715223603e-04	3.0945994235e-04	5.4769229368e-04
112               	-1.1687428966e-04	1.0507642245e-02	8.2743536572e-04	2.9684339319e-04	5.3059197252e-04
113               	-1.1662993934e-04	1.0485546429e-02	8.1678673646e-04	2.9176342889e-04	5.2502330757e-04
114               	-1.1608563592e-04	1.0459384439e-02	8.1386224883e-04	2.9084548849e-04	5.2301676034e-04
115               	-1.1478246945e-04	1.0443407655e-02	8.0884044950e-04	2.8963775529e-04	5.1920269420e-04
116               	-1.1351665698e-04	1.0441425946e-02	8.0001470367e-04	2.8649069486e-04	5.1352400881e-04
117               	-1.1329490045e-04	1.0440583222e-02	7.9028708781e-04	2.8184864346e-04	5.0843844435e-04
118               	-1.1364072510e-04	1.0430069233e-02	7.8146578809e-04	2.7709216894e-04	5.0437361915e-04
119               	-1.1284446512e-04	1.0416455587e-02	7.6969893202e-04	2.7200500089e-04	4.9769393113e-04
120               	-1.1039067222e-04	1.0409106557e-02	7.5199197312e-04	2.6560531435e-04	4.8638665878e-04
121               	-1.0770283552e-04	1.0407823537e-02	7.3303126542e-04	2.5881279719e-04	4.7421846822e-04
122               	-1.0704449841e-04	1.0402538899e-02	7.2278103180e-04	2.5434601749e-04	4.6843501431e-04
123               	-1.0838019749e-04	1.0391259087e-02	7.2119878347e-04	2.5221919425e-04	4.6897958922e-04
124               	-1.0959609565e-04	1.0380593053e-02	7.1892598967e-04	2.4986689918e-04	4.6905909049e-04
125               	-1.0916648134e-04	1.0375163993e-02	7.0944211084e-04	2.4555457408e-04	4.6388753676e-04
