# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
0                 	N/A               	N/A               	N/A               	N/A               	N/A               
1                 	9.9999999939e-01	9.9999999885e-01	1.0000000000e+00	9.9999999999e-01	1.9331547840e-04
2                 	2.4036598302e-02	2.0334482871e-02	6.0284594612e-01	3.4423469104e-02	2.9134090360e-03
3                 	2.2573630464e-02	9.6562198595e-03	2.1767606320e-01	3.7808053116e-03	7.3090056043e-03
4                 	3.1870643730e-02	3.1780522584e-03	1.3781309673e-01	2.3274630235e-03	1.4559392266e-03
5                 	6.4598497124e-02	3.7726631187e-03	2.6999382446e-01	2.5531899080e-03	3.6175153269e-04
6                 	5.1549520989e-02	2.1602523590e-03	2.0405717366e-01	2.4280279479e-03	3.7329607579e-04
7                 	1.5908076477e-01	1.1945676592e-03	1.9689786305e-01	3.6732417428e-03	3.6055258829e-04
8                 	5.4423790314e-02	1.8398403452e-03	1.6797307067e-01	8.9289254847e-04	5.6011437828e-04
9                 	6.9905593271e-02	1.7257627881e-03	8.9803618842e-02	7.4166500453e-04	3.7472700752e-04
10                	3.5952409847e-01	1.0857682460e-03	9.5732401834e-02	9.6395702527e-04	3.2514777609e-04
11                	3.8564653015e-01	1.1931105579e-03	1.0230765584e-01	9.6790081703e-04	2.3892907405e-04
12                	2.1130675710e-01	8.8251819293e-04	8.8410817277e-02	9.1336435423e-04	2.4739183390e-04
13                	1.2548188301e-01	5.8271399746e-04	7.6799863329e-02	9.5679131521e-04	2.6723469226e-04
14                	1.7504687785e-01	7.4385751966e-04	6.8825191619e-02	1.0189195190e-03	2.1230412086e-04
15                	5.4798357252e-01	6.0683857791e-04	5.9776670900e-02	1.0005575665e-03	2.1843458125e-04
16                	7.4379428839e-01	4.3374404426e-04	5.0286056753e-02	7.4522580256e-04	2.1232299034e-04
17                	2.6062163735e-01	4.7635006767e-04	5.3385373532e-02	4.0996402901e-04	1.7558280179e-04
18                	1.7709705894e-01	4.2968358828e-04	5.4178766894e-02	3.7491890324e-04	1.5661926367e-04
19                	2.0145549247e-01	3.4792050226e-04	4.2892122876e-02	3.5326667364e-04	1.3978928641e-04
20                	3.1288756082e-01	3.3507352944e-04	4.1403685921e-02	2.8633046069e-04	1.4391081966e-04
21                	4.7479898717e-01	3.7087940530e-04	4.4555521006e-02	2.6682621163e-04	1.1156575760e-04
22                	3.3884633556e-01	3.2986749366e-04	3.6798604653e-02	2.6320963593e-04	1.0284089147e-04
23                	2.1883206408e-01	2.8888513852e-04	3.9019450328e-02	2.3905686925e-04	1.0705660068e-04
24                	1.8903234207e-01	3.3923345028e-04	3.9327451435e-02	2.1619346670e-04	8.6036720862e-05
25                	1.9751316140e-01	3.0811636281e-04	3.1428852835e-02	2.1090848529e-04	7.8400534986e-05
26                	2.1987137367e-01	2.3957717406e-04	2.7785132614e-02	2.0101215959e-04	7.7482584323e-05
27                	2.3531019246e-01	3.0485920277e-04	3.2515924154e-02	1.9120433834e-04	6.3725390522e-05
28                	2.2156318423e-01	3.6803898290e-04	3.0687930248e-02	1.8300214967e-04	5.6839930116e-05
29                	1.9412510675e-01	3.0903659203e-04	2.6150951231e-02	1.6414444368e-04	5.3604224012e-05
30                	1.7902410043e-01	2.5418794784e-04	2.7497682823e-02	1.5606630358e-04	4.7856430005e-05
31                	1.7834088061e-01	2.7302831908e-04	2.8656280698e-02	1.4469389114e-04	4.3588597885e-05
32                	1.7382877372e-01	2.8889596059e-04	2.6840738624e-02	1.3638853008e-04	4.0996813723e-05
33                	1.7097146449e-01	2.4114158788e-04	2.2647491449e-02	1.3304658794e-04	3.7950523173e-05
34                	1.7204259624e-01	2.5609493020e-04	2.2808859942e-02	1.2593078870e-04	3.4958961578e-05
35                	1.6900718560e-01	2.7763172617e-04	2.0929517248e-02	1.1523770796e-04	3.2990067564e-05
36                	1.6583298149e-01	2.6646050541e-04	2.0049272596e-02	1.0832831753e-04	3.1629980134e-05
37                	1.6718993771e-01	2.4490130986e-04	2.2665770070e-02	1.0479857652e-04	3.0133959389e-05
38                	1.6645508019e-01	2.2778519745e-04	2.1650218840e-02	1.0405171937e-04	2.8506584050e-05
39                	1.5531932449e-01	2.1663516072e-04	2.0376749181e-02	1.0422317815e-04	2.6963892400e-05
40                	1.4717947308e-01	2.2550369769e-04	1.9359896532e-02	1.0401760727e-04	2.5711645663e-05
41                	1.4514556218e-01	2.1130091761e-04	1.7921683218e-02	1.0309809554e-04	2.4585478612e-05
42                	1.3720384222e-01	1.8101208443e-04	1.5625913125e-02	1.0204999933e-04	2.3543946839e-05
43                	1.2967100845e-01	1.8698041482e-04	1.5803152031e-02	1.0142264384e-04	2.2567480053e-05
44                	1.2855876969e-01	2.0255693952e-04	1.6525742531e-02	1.0101841334e-04	2.1474739470e-05
45                	1.2399104026e-01	1.8850932020e-04	1.5375882538e-02	1.0164824561e-04	2.0378748260e-05
46                	1.1306358332e-01	1.6500164542e-04	1.4831331895e-02	1.0178570568e-04	1.9297636613e-05
47                	1.0175703387e-01	1.6841927500e-04	1.5050700953e-02	1.0117516600e-04	1.8371375156e-05
48                	9.3328313434e-02	1.7675390860e-04	1.3936867102e-02	9.9456413386e-05	1.7316329178e-05
49                	8.5904503238e-02	1.6104230152e-04	1.2345952129e-02	9.7121436465e-05	1.6370149631e-05
50                	7.8591881273e-02	1.4015335420e-04	1.2768250427e-02	9.4488823530e-05	1.5588799420e-05
51                	7.2633039741e-02	1.3355794458e-04	1.2546595396e-02	9.1605827335e-05	1.4862914407e-05
52                	6.7854893557e-02	1.3830601533e-04	1.2545064893e-02	8.8495163089e-05	1.4143817519e-05
53                	6.2242687224e-02	1.3808270387e-04	1.1890725656e-02	8.5259266227e-05	1.3475660637e-05
54                	5.7506106867e-02	1.3072589810e-04	1.0960568414e-02	8.1906368161e-05	1.2868393597e-05
55                	5.4610605100e-02	1.2494552773e-04	1.0120967328e-02	7.8391692551e-05	1.2189023910e-05
56                	5.0258334767e-02	1.1901762065e-04	8.9567887395e-03	7.4754899472e-05	1.1509815114e-05
57                	4.5692318537e-02	1.1076495868e-04	8.1356752917e-03	7.1137547120e-05	1.0845952592e-05
58                	4.4014611256e-02	9.5742380982e-05	8.1392793651e-03	6.7443086264e-05	1.0241650338e-05
59                	4.3634612378e-02	9.2336861951e-05	8.4897351462e-03	6.3553162913e-05	9.6919445874e-06
60                	4.3233026168e-02	9.5824275873e-05	8.1079070888e-03	5.9500458231e-05	9.1967660795e-06
61                	4.2440008582e-02	9.5684806419e-05	7.5303676219e-03	5.5337903031e-05	8.7405183719e-06
62                	4.0980406058e-02	8.7182877314e-05	7.0406887536e-03	5.1336432882e-05	8.3498236904e-06
63                	4.0598754710e-02	7.7469762596e-05	6.3593708853e-03	4.7599190821e-05	8.0146011093e-06
64                	4.1556468069e-02	7.0333102410e-05	5.4096308595e-03	4.4142540137e-05	7.6867128801e-06
65                	4.1728646187e-02	6.8295440167e-05	5.0338569058e-03	4.1074402896e-05	7.3821344285e-06
66                	4.0314523526e-02	6.5526525567e-05	4.9168334620e-03	3.8420441039e-05	7.1009242999e-06
67                	3.9152184589e-02	6.0486898052e-05	5.3112111970e-03	3.6136118232e-05	6.8506955869e-06
68                	4.0088101002e-02	6.0170701211e-05	5.2141593411e-03	3.4149534896e-05	6.6098463807e-06
69                	4.1053130649e-02	6.0235002103e-05	4.7134541454e-03	3.2366848615e-05	6.3683765206e-06
70                	3.9619893051e-02	5.5962847014e-05	4.4698049302e-03	3.0788513112e-05	6.1247066101e-06
