# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0               	N/A             	N/A             	N/A             	N/A             	N/A             	N/A             
2e-05           	1.00000000e+00	9.99999996e-01	1.00000000e+00	9.99999993e-01	1.00000000e+00	1.40948678e-04
4e-05           	3.51031831e-02	7.58453390e-03	3.45033112e-01	4.18943214e-02	2.26276928e-02	1.66819266e-04
6e-05           	1.37533984e-02	4.57570106e-03	2.12549597e-01	1.49873034e-02	1.29824067e-02	1.88461063e-04
8e-05           	8.76708071e-03	3.57096327e-03	1.47618756e-01	1.03587779e-02	9.62896992e-03	1.89871617e-04
0.0001          	6.91841214e-03	3.22153542e-03	1.15924264e-01	8.21885984e-03	7.98134103e-03	2.02379471e-04
0.00012         	6.00398689e-03	3.05624589e-03	9.49771490e-02	7.14986888e-03	6.99976441e-03	2.16772314e-04
0.00014         	5.41667709e-03	2.96801613e-03	8.05963822e-02	6.54541754e-03	6.36241391e-03	2.29601725e-04
0.00016         	5.07328404e-03	2.92446721e-03	7.02924071e-02	6.18501544e-03	5.91596708e-03	2.43373615e-04
0.00018         	4.85637948e-03	2.90562282e-03	6.24950457e-02	5.96634065e-03	5.57283477e-03	2.58021611e-04
0.0002          	4.73089128e-03	2.90089252e-03	5.63798723e-02	5.83142482e-03	5.30730372e-03	2.73483263e-04
0.00022         	4.65958880e-03	2.90435011e-03	5.14644274e-02	5.76325593e-03	5.08847331e-03	2.89878300e-04
0.00024         	4.62107049e-03	2.91458796e-03	4.73990783e-02	5.73698639e-03	4.90424571e-03	3.07676166e-04
0.00026         	4.60758980e-03	2.93076486e-03	4.40040657e-02	5.74328679e-03	4.74884805e-03	3.26689178e-04
0.00028         	4.61355607e-03	2.95097539e-03	4.11019692e-02	5.77211518e-03	4.61319967e-03	3.44030487e-04
0.0003          	4.63738830e-03	2.97319522e-03	3.85974932e-02	5.81921822e-03	4.48983541e-03	3.54000272e-04
0.00032         	4.67255085e-03	2.99683579e-03	3.64194854e-02	5.88326267e-03	4.37644867e-03	3.55828273e-04
0.00034         	4.71889513e-03	3.02384959e-03	3.45038781e-02	5.95680740e-03	4.27195205e-03	3.52604242e-04
0.00036         	4.77499566e-03	3.05047572e-03	3.28031350e-02	6.04296623e-03	4.17628033e-03	3.47192529e-04
0.00038         	4.83618540e-03	3.07900018e-03	3.12832445e-02	6.13385098e-03	4.08394196e-03	3.41361956e-04
0.0004          	4.90231912e-03	3.11123596e-03	2.99195139e-02	6.23815785e-03	3.99510668e-03	3.35731643e-04
0.00042         	4.97886194e-03	3.14093086e-03	2.86937860e-02	6.34899191e-03	3.91092302e-03	3.30637379e-04
0.00044         	5.05739073e-03	3.17243638e-03	2.75842263e-02	6.46308020e-03	3.83011971e-03	3.25267993e-04
0.00046         	5.13559492e-03	3.20615648e-03	2.65714214e-02	6.58810707e-03	3.75151095e-03	3.19049515e-04
0.00048         	5.22385493e-03	3.23998828e-03	2.56481562e-02	6.71128826e-03	3.67728314e-03	3.12970017e-04
0.0005          	5.31452341e-03	3.27551233e-03	2.48011431e-02	6.83770460e-03	3.60494963e-03	3.07334945e-04
0.00052         	5.41115393e-03	3.31185290e-03	2.40148124e-02	6.98210604e-03	3.53603232e-03	3.02025910e-04
0.00054         	5.50371015e-03	3.34540137e-03	2.32961397e-02	7.11812929e-03	3.46813729e-03	2.96985521e-04
0.00056         	5.60859314e-03	3.38418553e-03	2.26398165e-02	7.26201936e-03	3.40479485e-03	2.92130677e-04
0.00058         	5.71090508e-03	3.42026959e-03	2.20160324e-02	7.40591237e-03	3.34156452e-03	2.87466053e-04
0.0006          	5.81105237e-03	3.46107836e-03	2.14359837e-02	7.56057005e-03	3.27898789e-03	2.82989796e-04
0.00062         	5.92269704e-03	3.49947764e-03	2.09138708e-02	7.70347423e-03	3.22029102e-03	2.78655480e-04
0.00064         	6.02781616e-03	3.54227800e-03	2.04041948e-02	7.86548566e-03	3.16314648e-03	2.74499470e-04
0.00066         	6.13959839e-03	3.58151999e-03	1.99375600e-02	8.01477525e-03	3.10490796e-03	2.70487768e-04
0.00068         	6.25330734e-03	3.62637942e-03	1.95061685e-02	8.17403789e-03	3.05216897e-03	2.66609864e-04
0.0007          	6.36170060e-03	3.66730080e-03	1.90813811e-02	8.33094406e-03	2.99627853e-03	2.62964590e-04
0.00072         	6.48180793e-03	3.71173878e-03	1.87091772e-02	8.48675704e-03	2.94729020e-03	2.59457620e-04
0.00074         	6.58892605e-03	3.75652581e-03	1.83256440e-02	8.65097318e-03	2.89446101e-03	2.56087214e-04
0.00076         	6.71345006e-03	3.80001126e-03	1.80021436e-02	8.80173294e-03	2.84749298e-03	2.52702918e-04
0.00078         	6.82521175e-03	3.84661392e-03	1.76574621e-02	8.97282331e-03	2.80032562e-03	2.49486439e-04
0.0008          	6.94824906e-03	3.89101621e-03	1.73685284e-02	9.11943610e-03	2.75484233e-03	2.46363852e-04
0.00082         	7.06466787e-03	3.93853341e-03	1.70603097e-02	9.29230478e-03	2.71086256e-03	2.43381151e-04
0.00084         	7.18389599e-03	3.98471001e-03	1.68007588e-02	9.44164218e-03	2.66866300e-03	2.40544304e-04
0.00086         	7.30679534e-03	4.03041011e-03	1.65180525e-02	9.61095776e-03	2.62741764e-03	2.37712641e-04
0.00088         	7.42766489e-03	4.07899358e-03	1.62878652e-02	9.76707739e-03	2.58799963e-03	2.35021037e-04
0.0009          	7.55011137e-03	4.12443563e-03	1.60358944e-02	9.92874541e-03	2.54973550e-03	2.32411418e-04
0.00092         	7.66658443e-03	4.17044282e-03	1.58148237e-02	1.00918158e-02	2.51130972e-03	2.29863691e-04
0.00094         	7.79916318e-03	4.21852746e-03	1.55993751e-02	1.02473368e-02	2.47774719e-03	2.27359173e-04
0.00096         	7.91453077e-03	4.26325689e-03	1.53855804e-02	1.04111732e-02	2.44073395e-03	2.24934180e-04
0.00098         	8.04170261e-03	4.30941972e-03	1.52035942e-02	1.05642362e-02	2.40624030e-03	2.22597431e-04
0.001           	8.17253306e-03	4.35620035e-03	1.49929111e-02	1.07350295e-02	2.37494157e-03	2.20389004e-04
0.00102         	8.28550105e-03	4.39958745e-03	1.48267022e-02	1.08886404e-02	2.34052362e-03	2.18222725e-04
0.00104         	8.42105421e-03	4.44475805e-03	1.46550757e-02	1.10457785e-02	2.30930540e-03	2.15990634e-04
0.00106         	8.54757557e-03	4.49104028e-03	1.44770059e-02	1.12141313e-02	2.27972411e-03	2.13918134e-04
0.00108         	8.66492346e-03	4.53388081e-03	1.43328214e-02	1.13652423e-02	2.24902557e-03	2.11906225e-04
0.0011          	8.80375379e-03	4.57752909e-03	1.41684234e-02	1.15214526e-02	2.22048265e-03	2.09949978e-04
0.00112         	8.92683218e-03	4.62315482e-03	1.40198682e-02	1.16879041e-02	2.19225654e-03	2.07960627e-04
0.00114         	9.05173629e-03	4.66640923e-03	1.38894957e-02	1.18384676e-02	2.16329328e-03	2.06020865e-04
0.00116         	9.18565459e-03	4.70897312e-03	1.37420522e-02	1.19941179e-02	2.13591851e-03	2.04172773e-04
0.00118         	9.31083244e-03	4.75416162e-03	1.36108169e-02	1.21589500e-02	2.10995807e-03	2.02437110e-04
0.0012          	9.44054827e-03	4.80025040e-03	1.34928783e-02	1.23107498e-02	2.08430125e-03	2.00791711e-04
0.00122         	9.56947580e-03	4.84284004e-03	1.33640105e-02	1.24669408e-02	2.05933477e-03	1.99050519e-04
0.00124         	9.69962735e-03	4.88973974e-03	1.32456050e-02	1.26235849e-02	2.03390234e-03	1.97340974e-04
0.00126         	9.82561381e-03	4.93910031e-03	1.31308433e-02	1.27794765e-02	2.00893486e-03	1.95808146e-04
0.00128         	9.95765113e-03	4.98955968e-03	1.30240365e-02	1.29361590e-02	1.98636145e-03	1.94350415e-04
0.0013          	1.00891269e-02	5.04258473e-03	1.29095011e-02	1.30853919e-02	1.96447109e-03	1.92929628e-04
